id,gender,age,education,work_experience,H_self,E_self,A_self,C_self,g_level,question_type,content,question_content
5484821efdf99b07b28f2300,2,38.0,4,19.4,3.125,4.1875,2.875,3.5,3,q1,"Generally, I consider some of my greatest strengths to be my concern for others. I like to see people be successful in their jobs and what they're doing, and so I'm very willing to help them achieve and do what it takes to be successful. As far as weaknesses, I would say that I'm not much of a confrontation person. If there's a problem with a project or something, I tend to probably not be as direct as I should be, like beating around the bush too much, or when I should be saying, hey, this is a problem and here's what we need to do. I don't like to tell people what to do, and wanting them to come to the conclusion of what they should do on their own does not always work as a solution. So I have a problem with being direct with people as my weakness.",general
5484821efdf99b07b28f2300,2,38.0,4,19.4,3.125,4.1875,2.875,3.5,3,q2,"My best friend would describe me as someone who is very soft-hearted, very forgiving, and always goes out of my way to help people or to do something nice for them. And I volunteer a lot, and that kind of attitude is reflected in my work. And they would also say I'm very hardworking and smart, and I always try to do a good job, no matter what I'm doing or working on. I think that's about friendly. I think they would say I'm a friendly person, and I always get along with everyone.",general
5484821efdf99b07b28f2300,2,38.0,4,19.4,3.125,4.1875,2.875,3.5,3,q3,"There have definitely been times where I made professional decisions that affected how much money I make. Some of those decisions were a negative amount of money. For example, one time I left a job I didn't like to take a lower paying job because I felt that the opportunity in that job was worth the lower amount of money. And it did work out eventually. I did increase my pay even higher than before, but it did take about three years. So overall I think it was a good decision and I did make some really good professional contacts from that. So I do take risks like that where it could end up as a negative overall, but this one lucky for me was a positive.",Think of situations when you made professional decisions that could affect your status or how much money you make. How do you usually behave in such situations? Why do you think that is?
5484821efdf99b07b28f2300,2,38.0,4,19.4,3.125,4.1875,2.875,3.5,3,q4,"I did recently join a new team about a year and four months ago. And it was very difficult because we were working remotely. The team had worked in person together prior to COVID. So they had seen each other every day. They had built these relationships and then I came in and I didn't know anybody. There was hardly any opportunities to interact in person. And so when I came in, I was just kind of like greasing everybody up like, hey, I know you're so busy, but can you help me with something? Or can you look at this, like just acknowledging that they were busy and that they would be doing me a great favor by helping me with learning new things. And occasionally I try to make it personal and talk to them about their kids or their wife or whatever their interests are, just so we could kind of form that interpersonal relationship.",Think of situations when you joined a new team of people. How do you usually behave when you enter a new team? Why do you think that is?
5484821efdf99b07b28f2300,2,38.0,4,19.4,3.125,4.1875,2.875,3.5,3,q5,"There have definitely been times where someone has annoyed me. Normally it's a situation where I ask someone to do something or take care of something and they don't do it or I remind them and they still don't do it, which is so irritating to me because I feel like I'm a person who if you ask me to do something I'm going to do it and I'll take care of it and you don't have to ask me twice. For me to have to ask someone multiple times to do their job is super stressful for me. I try to keep it positive like, hey, as soon as you do this I can stop bugging you about this and we can, in my head I'm thinking we can all move on with our lives and hopefully I don't have to talk to you about this situation again. Of course always just try to keep it positive like, hey, if you do this for me we can close this project and we can be done and try to spin it in a way that shows the benefit to them.",Think of situations when someone annoyed you. How do you usually react in such situations? Why do you think that is?
5484821efdf99b07b28f2300,2,38.0,4,19.4,3.125,4.1875,2.875,3.5,3,q6,"Occasionally my workspace does get disorganized. I think that the greatest reason that that occurs is because when I get unhappy, especially in a work situation, if I'm bored, I'm super unorganized just because I don't see a benefit in being organized. Sometimes if I'm bored, I'm like, this won't gain me anything, but if I'm super busy, then I'm like, I got to have everything exactly where I need it and know where it is so I can access it easily. So yeah, I would say that's the primary reason that I become disorganized is boredom. Being busy really keeps me on my toes and requires a lot of organization when I'm just overloaded with things to do.",Think of situations when your work or workspace were not very organized. How typical is that of you? Why do you think that is?
549b8ef4fdf99b4ffa5fa0c9,2,47.0,3,30.4,4.3125,2.5625,3.6875,4.0625,2,q1,"I consider my greatest strengths and weaknesses as an employee. My honesty and my integrity. I am generally very truthful and have a lot of integrity and try to be authentic while keeping in line with typical normal same value. I also think my humor is among my greatest strength. Some of my weaknesses would be I can at times be a bit too kind and forgiving causing others to try to take advantage of me. Which then leads to my next weakness which is my strange way of expressing myself when I'm frustrated. Which usually is a little bit, well it's also honest and authentic. So whatever I'm feeling at the time I may say it and that could be a strength and a weakness. So yeah, it's hard for me to deal with people sometimes when, like customers I could deal with angry customers. But sometimes when you see somebody every single day and they are not nice to you and it's, what do they call it, like systematically every day they have something to say or something that they're trying to cause problems about. That's the hardest part for me is dealing with people like that. So I'm working on it but that would be about all. Thank you.",general
549b8ef4fdf99b4ffa5fa0c9,2,47.0,3,30.4,4.3125,2.5625,3.6875,4.0625,2,q2,"My best friend would describe me as being funny. Also sometimes a little strange. Not necessarily in a bad way. But I'm creative type. So sometimes my thoughts and feelings come out in the things that I do and make and say. Writing, photography, things like that. I tend to be a little bit out there. Compared to most people. So I would say they would describe me as a little eccentric. But funny with a good heart. Hopefully. Loud sometimes and sometimes very quiet. But usually kind of louder than some. Hyper. Well people would say high energy. I'm a high energy type of person. I like to drink coffee. And that fuels the fire of my creative brain. So I can come up with a lot of ideas in a short time if needed. And sometimes those ideas involve road trips. And shopping. But I'm just really an average kind of person. So nothing really crazy. Other than my own little adventures that I get into. That usually don't actually involve road trips. But they do involve shopping. And so yeah I like to enjoy life. I like my best friend would describe me as someone who likes to enjoy life. Have fun. Live the best life that I can. Be kind to others. Try to stay out of trouble. So I'm not a troublemaker. I do my best to completely stay out of trouble. And someone who maybe struggles to fit in sometimes. But once I find a place I fit in then I stay. I don't like to keep looking and searching for places. Thanks.",general
549b8ef4fdf99b4ffa5fa0c9,2,47.0,3,30.4,4.3125,2.5625,3.6875,4.0625,2,q3,"Well, situations where I made professional decisions that it can affect my status or how much money I could make. Well, that happens a lot. I mean, not the money so much, but the status. I have to make a lot of decisions that affect my status. And especially because I'm more an honest person, people don't always want to hear the truth. So usually it doesn't affect much money I make, but it does affect my so-called status because I don't really have super high status as it is. So I don't really have that much to fall there. So it's like one little thing and you are on another lower level, or you could go up a level or down two levels or up two, but not usually more than that. So a situation really, it's just like basic. The need to tell somebody like you're not doing things right. And you tell them that and they get mad and upset. And so they, you know, because it could be because I'm around a lot of people that maybe don't have the level of emotional maturity that they should have in the place that they're in. So that's the part of it. Yeah. So it's like basically a situation where you're trying to tell someone, look, this isn't right, what you're doing and you have to stop. I've been told by multiple people, you have to stop and you tell them in the nicest way possible and they shoot the messenger and decide there you get back at you, which could affect status and money sometimes. So it could be like a land mine out there. And they haven't had a ton of experience in that area as far as how, you know, because I'm not a manager, like, you know, so it's like, how do you tell people these things? Because if I were a manager, they probably would respond very differently, even though I said it the exact same way, but because they view themselves in their own head as being high status. And I'm from this low status. Then they say, you know, don't like you anyways. And they let everyone know.",Think of situations when you made professional decisions that could affect your status or how much money you make. How do you usually behave in such situations? Why do you think that is?
549b8ef4fdf99b4ffa5fa0c9,2,47.0,3,30.4,4.3125,2.5625,3.6875,4.0625,2,q4,"Well, work situations where I joined a new team of people. I got a space, like a place where I put my art and I put my retail product type things, sort of a side job. And so there's a new team of people. So how do I usually behave when I enter a new team? Well, usually I'm polite. I do try to be polite, whether they're new or not new. But of course it's a new situation. So I typically try to be really polite and understand where they're coming from and how they are because so many people can behave in so many different ways where one thing you say can be taken as funny or nice, one place, and then it can be taken as mean and offensive somewhere else. So I try to be aware of that and do the best I can about just being polite and nice, but real, not fake. I don't try to put on some kind of a show, but I do try to be my best. I'll put it that way. I try to be my best self, put a good foot forward there so they don't think I'm just a horrible person. And why do I think that is? Well, because I like to make other people feel accepted and cared for, whether I just met them or known them for most of my life, I like people to feel comfortable and happy to be around me, not scared or worried that I'm going to be mean or hateful to them or judge them. Where I come from, it's cultural. A lot of it is cultural. People here are very different in personality, and there's a lot of people that are very rough and dangerous. So they're kind of always a little bit shell shocked. Even if you're walking into a boardroom meeting, they're going to be sort of shell shocked and it may behave. So it's depending on where you're at or what's going on. They could be overly aggressive. Fully aggressive or under aggressive, it's just all kinds of things.",Think of situations when you joined a new team of people. How do you usually behave when you enter a new team? Why do you think that is?
